workout_date,class_time,studio,coach,splat_points,calories,avg_hr,peak_hr,avg_pct_max_hr,peak_pct_max_hr,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,steps,class_type,template,is_forward,source_file,email_date_utc,note
2018-10-11,12:00 PM,"Tenleytown, DC",Tammy,26,760,145,174.0,80.0,96.0,4,6,16,22,4,,Orange 60,2018-transitional,False,OTF_Data-2018.mbox,2018-10-11T16:53:13+00:00,
2018-10-16,12:00 PM,"Tenleytown, DC",Tammy,26,826,149,179.0,82.0,98.0,1,6,22,17,9,,,2019+,False,OTF_Data-2018.mbox,2018-10-16T16:58:31+00:00,
2018-10-18,8:15 AM,"Tenleytown, DC",Kristof,13,747,137,173.0,75.0,95.0,5,12,25,9,4,,,2019+,False,OTF_Data-2018.mbox,2018-10-18T13:11:48+00:00,
2018-10-22,10:30 AM,"Tenleytown, DC",Kristof,30,855,149,183.0,82.0,99.0,3,5,17,19,11,,,2019+,False,OTF_Data-2018.mbox,2018-10-22T15:30:44+00:00,
2018-10-24,12:00 PM,"Tenleytown, DC",Tammy,29,814,141,187.0,77.0,99.0,13,5,11,14,15,,,2019+,False,OTF_Data-2018.mbox,2018-10-24T16:59:15+00:00,
2018-10-25,12:00 PM,"Tenleytown, DC",Tammy,42,951,157,191.0,86.0,99.0,8,3,6,10,32,,,2019+,False,OTF_Data-2018.mbox,2018-10-25T17:00:29+00:00,
2018-10-27,8:05 AM,"Tenleytown, DC",Jenn,35,873,155,189.0,85.0,99.0,3,5,11,14,21,,,2019+,False,OTF_Data-2018.mbox,2018-10-27T13:00:09+00:00,
2018-10-30,12:00 PM,"Tenleytown, DC",Tammy,43,968,162,187.0,89.0,99.0,1,2,11,15,28,,,2019+,False,OTF_Data-2018.mbox,2018-10-30T16:59:39+00:00,
2018-11-02,12:00 PM,"Tenleytown, DC",Jenn,25,832,147,185.0,81.0,99.0,4,9,18,10,15,,,2019+,False,OTF_Data-2018.mbox,2018-11-02T16:58:16+00:00,
2018-11-06,7:15 AM,"Tenleytown, DC",Jenn,28,853,148,181.0,81.0,99.0,3,4,21,17,11,,,2019+,False,OTF_Data-2018.mbox,2018-11-06T13:12:13+00:00,
2018-11-07,12:00 PM,"Tenleytown, DC",Tammy,47,991,165,190.0,91.0,99.0,3,1,6,13,34,,,2019+,False,OTF_Data-2018.mbox,2018-11-07T17:59:24+00:00,
2018-11-09,12:00 PM,"Tenleytown, DC",Jenn,22,797,142,178.0,78.0,98.0,5,8,22,18,4,,,2019+,False,OTF_Data-2018.mbox,2018-11-09T17:58:47+00:00,
2018-11-11,9:30 AM,"Tenleytown, DC",Molly,36,896,157,181.0,86.0,99.0,1,3,14,15,21,,,2019+,False,OTF_Data-2018.mbox,2018-11-11T15:25:17+00:00,
2018-11-13,12:00 PM,"Tenleytown, DC",Tammy,31,829,151,182.0,83.0,99.0,2,5,16,21,10,,,2019+,False,OTF_Data-2018.mbox,2018-11-13T17:58:01+00:00,
2018-11-15,12:00 PM,"Tenleytown, DC",Tammy,32,872,151,182.0,83.0,99.0,1,5,17,22,10,,,2019+,False,OTF_Data-2018.mbox,2018-11-15T17:58:50+00:00,
2018-11-18,9:30 AM,"Tenleytown, DC",Molly,27,878,144,176.0,79.0,97.0,4,10,19,22,5,,,2019+,False,OTF_Data-2018.mbox,2018-11-18T15:32:15+00:00,
2018-11-20,12:00 PM,"Tenleytown, DC",Tammy,20,753,137,184.0,75.0,99.0,8,10,18,12,8,,,2019+,False,OTF_Data-2018.mbox,2018-11-20T17:58:57+00:00,
2018-11-21,10:30 AM,"Tenleytown, DC",Tammy,31,824,149,180.0,82.0,99.0,3,5,14,22,9,,,2019+,False,OTF_Data-2018.mbox,2018-11-21T16:24:57+00:00,
2018-11-24,10:15 AM,"Tenleytown, DC",Tammy,32,878,153,185.0,84.0,99.0,2,4,17,14,18,,,2019+,False,OTF_Data-2018.mbox,2018-11-24T16:13:33+00:00,
2018-11-28,12:00 PM,"Tenleytown, DC",Tammy,21,830,147,185.0,81.0,99.0,2,9,23,11,10,,,2019+,False,OTF_Data-2018.mbox,2018-11-28T17:58:04+00:00,
2018-11-29,12:00 PM,"Tenleytown, DC",Tammy,22,814,148,181.0,81.0,99.0,1,5,26,12,10,,,2019+,False,OTF_Data-2018.mbox,2018-11-29T17:58:23+00:00,
2018-12-01,10:15 AM,"Tenleytown, DC",Kristof,35,893,156,184.0,86.0,99.0,3,2,14,13,22,,,2019+,False,OTF_Data-2018.mbox,2018-12-01T16:13:02+00:00,
2018-12-03,4:30 PM,"Tenleytown, DC",Kristof,26,787,144,186.0,79.0,99.0,5,9,14,17,9,,,2019+,False,OTF_Data-2018.mbox,2018-12-03T22:29:04+00:00,
2018-12-04,12:00 PM,"Tenleytown, DC",Jenn,25,833,145,174.0,80.0,96.0,3,6,24,20,5,,,2019+,False,OTF_Data-2018.mbox,2018-12-04T17:57:52+00:00,
2018-12-08,8:05 AM,"Tenleytown, DC",Jenn,25,852,146,177.0,80.0,97.0,3,8,22,17,8,,,2019+,False,OTF_Data-2018.mbox,2018-12-08T14:03:18+00:00,
2018-12-10,9:15 AM,"Tenleytown, DC",Kristof,20,709,134,177.0,74.0,97.0,13,8,15,13,7,,,2019+,False,OTF_Data-2018.mbox,2018-12-10T15:13:34+00:00,
2018-12-11,12:00 PM,"Tenleytown, DC",Tammy,30,881,154,190.0,85.0,99.0,4,2,19,11,19,,,2019+,False,OTF_Data-2018.mbox,2018-12-11T17:56:46+00:00,
2018-12-13,4:30 PM,"Tenleytown, DC",Jenn,36,832,156,188.0,86.0,99.0,2,5,9,15,21,,,2019+,False,OTF_Data-2018.mbox,2018-12-13T22:23:46+00:00,
2018-12-17,9:15 AM,"Tenleytown, DC",Kristof,20,740,139,178.0,76.0,98.0,6,10,17,17,3,,,2019+,False,OTF_Data-2018.mbox,2018-12-17T15:09:30+00:00,
2018-12-18,4:30 PM,"Tenleytown, DC",Tammy,32,792,152,180.0,84.0,99.0,4,3,11,17,15,,,2019+,False,OTF_Data-2018.mbox,2018-12-18T22:22:52+00:00,
2018-12-20,12:00 PM,"Tenleytown, DC",Tammy,25,849,150,186.0,82.0,99.0,1,6,24,12,13,,,2019+,False,OTF_Data-2018.mbox,2018-12-20T17:58:36+00:00,
2018-12-24,8:15 AM,"Tenleytown, DC",Molly,29,835,148,183.0,81.0,99.0,5,9,12,14,15,,,2019+,False,OTF_Data-2018.mbox,2018-12-24T14:13:38+00:00,
2018-12-26,8:15 AM,"Tenleytown, DC",Tammy,27,826,147,181.0,81.0,99.0,2,7,20,17,10,,,2019+,False,OTF_Data-2018.mbox,2018-12-26T14:13:12+00:00,
2018-12-28,8:15 AM,"Tenleytown, DC",Kristof,23,779,143,177.0,79.0,97.0,4,9,19,15,8,,,2019+,False,OTF_Data-2018.mbox,2018-12-28T14:10:23+00:00,
2018-12-31,12:00 PM,"Tenleytown, DC",Kristof,32,826,148,192.0,81.0,99.0,6,5,12,19,13,,,2019+,False,OTF_Data-2018.mbox,2018-12-31T18:00:19+00:00,
2019-01-03,9:15 AM,"Tenleytown, DC",Jenn,26,801,143,178.0,79.0,98.0,6,9,16,18,8,,,2019+,False,OTF_Data-2019.mbox,2019-01-03T15:15:52+00:00,
2019-01-05,9:10 AM,"Tenleytown, DC",Jenn,34,866,149,186.0,82.0,99.0,5,6,12,15,19,,,2019+,False,OTF_Data-2019.mbox,2019-01-05T15:08:25+00:00,
2019-01-07,4:30 PM,"Tenleytown, DC",Tammy,24,828,146,189.0,80.0,99.0,5,9,18,11,13,,,2019+,False,OTF_Data-2019.mbox,2019-01-07T22:28:34+00:00,
2019-01-09,9:15 AM,"Tenleytown, DC",Tammy,28,774,148,178.0,81.0,98.0,2,8,13,17,11,,,2019+,False,OTF_Data-2019.mbox,2019-01-09T15:08:39+00:00,
2019-01-10,12:00 PM,"Tenleytown, DC",Angie,28,843,148,183.0,81.0,99.0,2,5,20,18,10,,,2019+,False,OTF_Data-2019.mbox,2019-01-10T17:57:33+00:00,
2019-01-12,9:10 AM,"Tenleytown, DC",Jenn,37,921,156,184.0,86.0,99.0,3,5,11,14,23,,,2019+,False,OTF_Data-2019.mbox,2019-01-12T15:13:29+00:00,
2019-01-13,9:10 AM,"Tenleytown, DC",Tammy,27,821,146,179.0,80.0,98.0,4,7,17,21,6,,,2019+,False,OTF_Data-2019.mbox,2019-01-13T15:07:56+00:00,
2019-01-16,12:00 PM,"Tenleytown, DC",Tammy,34,882,153,181.0,84.0,99.0,2,3,16,18,16,,,2019+,False,OTF_Data-2019.mbox,2019-01-16T17:57:12+00:00,
2019-01-17,12:00 PM,"Tenleytown, DC",Jenn,29,816,147,178.0,81.0,98.0,5,6,15,19,10,,,2019+,False,OTF_Data-2019.mbox,2019-01-17T17:57:29+00:00,
2019-01-19,10:15 AM,"Tenleytown, DC",Kristof,23,851,143,179.0,79.0,98.0,4,12,20,15,8,,,2019+,False,OTF_Data-2019.mbox,2019-01-19T16:15:07+00:00,
2019-01-21,4:30 PM,"Tenleytown, DC",Tammy,33,831,148,183.0,81.0,99.0,6,6,10,18,15,,,2019+,False,OTF_Data-2019.mbox,2019-01-21T22:28:02+00:00,
2019-01-22,9:15 AM,"Tenleytown, DC",Molly,24,848,142,180.0,78.0,99.0,7,10,18,12,12,,,2019+,False,OTF_Data-2019.mbox,2019-01-22T15:16:07+00:00,
2019-01-24,8:15 AM,"Tenleytown, DC",Jenn,31,859,152,193.0,84.0,99.0,2,7,14,15,16,,,2019+,False,OTF_Data-2019.mbox,2019-01-24T14:14:40+00:00,
2019-01-26,10:15 AM,"Tenleytown, DC",Molly,34,853,151,182.0,83.0,99.0,6,4,11,16,18,,,2019+,False,OTF_Data-2019.mbox,2019-01-26T16:10:28+00:00,
2019-01-27,10:15 AM,"Tenleytown, DC",Tammy,26,826,145,183.0,80.0,99.0,6,8,16,12,14,,,2019+,False,OTF_Data-2019.mbox,2019-01-27T16:13:10+00:00,
2019-01-29,9:15 AM,"Tenleytown, DC",Molly,22,813,139,180.0,76.0,99.0,7,13,16,13,9,,,2019+,False,OTF_Data-2019.mbox,2019-01-29T15:15:29+00:00,
2019-01-31,8:15 AM,"Tenleytown, DC",Jenn,27,845,146,183.0,80.0,99.0,3,9,18,16,11,,,2019+,False,OTF_Data-2019.mbox,2019-01-31T14:14:35+00:00,
2019-02-02,10:15 AM,"Tenleytown, DC",Kristof,30,807,147,184.0,81.0,99.0,6,5,13,17,13,,,2019+,False,OTF_Data-2019.mbox,2019-02-02T16:13:54+00:00,
2019-02-03,10:15 AM,"Tenleytown, DC",Kristof,24,809,141,184.0,77.0,99.0,8,11,15,10,14,,,2019+,False,OTF_Data-2019.mbox,2019-02-03T16:15:29+00:00,
2019-02-05,10:30 AM,"Tenleytown, DC",Tammy,25,821,146,181.0,80.0,99.0,3,8,19,18,7,,,2019+,False,OTF_Data-2019.mbox,2019-02-05T16:28:29+00:00,
2019-02-07,10:30 AM,"Tenleytown, DC",Kristof,21,793,139,172.0,76.0,95.0,4,13,19,19,2,,,2019+,False,OTF_Data-2019.mbox,2019-02-07T16:28:06+00:00,
2019-02-09,9:10 AM,"Tenleytown, DC",Jenn,25,834,141,180.0,77.0,99.0,6,14,15,15,10,,,2019+,False,OTF_Data-2019.mbox,2019-02-09T15:10:22+00:00,
2019-02-10,9:10 AM,"Tenleytown, DC",Molly,19,768,138,176.0,76.0,97.0,6,15,18,14,5,,,2019+,False,OTF_Data-2019.mbox,2019-02-10T15:08:29+00:00,
2019-02-12,9:15 AM,"Tenleytown, DC",Molly,30,885,147,178.0,81.0,98.0,3,6,20,20,10,,,2019+,False,OTF_Data-2019.mbox,2019-02-12T15:14:38+00:00,
2019-02-13,9:15 AM,"Tenleytown, DC",Tammy,20,769,142,174.0,78.0,96.0,3,9,23,18,2,,,2019+,False,OTF_Data-2019.mbox,2019-02-13T15:13:59+00:00,
2019-02-17,10:15 AM,"Tenleytown, DC",Tammy,28,832,146,184.0,80.0,99.0,5,9,14,11,17,1.0,,2019+,False,OTF_Data-2019.mbox,2019-02-17T16:15:27+00:00,
